,Topic Id,Biased_Size_2_KeyPhrases,Biased_Size_2_Phrase_Scores
0,3,"['talks saudi', 'saudi security', 'iran confrontation', 'iran diplomacy', 'iranian airspace', 'talks iran', 'confrontation iran', 'attack saudi', 'arabia pompeo', 'confront iran']","[('talks saudi', 0.5373), ('saudi security', 0.5282), ('iran confrontation', 0.5254), ('iran diplomacy', 0.5251), ('iranian airspace', 0.5189), ('talks iran', 0.5159), ('confrontation iran', 0.5155), ('attack saudi', 0.5125), ('arabia pompeo', 0.5124), ('confront iran', 0.5081)]"
1,1,"['clinton nevada', 'trump nevada', 'campaign nevada', 'nevada campaign', 'panic nevada', 'democrats nevada', 'suddenly nevada', 'nevada liberals', 'nevada democratic', 'lose nevada']","[('clinton nevada', 0.6443), ('trump nevada', 0.6425), ('campaign nevada', 0.634), ('nevada campaign', 0.6307), ('panic nevada', 0.6007), ('democrats nevada', 0.5892), ('suddenly nevada', 0.5879), ('nevada liberals', 0.583), ('nevada democratic', 0.5795), ('lose nevada', 0.5779)]"
2,8,"['struggling coronavirus', 'coronavirus crisis', 'caring coronavirus', 'blaming coronavirus', 'meeting coronavirus', 'coronavirus headlines', 'realizes coronavirus', 'coronavirus outbreak', 'coronavirus ravaged', 'coronavirus concerned']","[('struggling coronavirus', 0.74), ('coronavirus crisis', 0.7113), ('caring coronavirus', 0.7006), ('blaming coronavirus', 0.6989), ('meeting coronavirus', 0.6977), ('coronavirus headlines', 0.6954), ('realizes coronavirus', 0.6936), ('coronavirus outbreak', 0.6926), ('coronavirus ravaged', 0.6886), ('coronavirus concerned', 0.6881)]"
3,-1,"['elections virginia', 'voters virginia', 'noncitizens jury', 'virginia politics', 'noncitizen jury', 'virginia voters', 'county jury', 'virginia lawmakers', 'jury pools', 'politics juries']","[('elections virginia', 0.5507), ('voters virginia', 0.5467), ('noncitizens jury', 0.5425), ('virginia politics', 0.5381), ('noncitizen jury', 0.5379), ('virginia voters', 0.5357), ('county jury', 0.5356), ('virginia lawmakers', 0.5324), ('jury pools', 0.5307), ('politics juries', 0.5207)]"
4,12,"['warming democrats', 'climate denial', 'senators letter', 'sanders letter', 'exxon lying', 'statement environmentalists', 'warming narrative', 'climate justice', 'senator said', 'letter republicans']","[('warming democrats', 0.4905), ('climate denial', 0.4873), ('senators letter', 0.4481), ('sanders letter', 0.4389), ('exxon lying', 0.4379), ('statement environmentalists', 0.4332), ('warming narrative', 0.4328), ('climate justice', 0.4317), ('senator said', 0.4288), ('letter republicans', 0.4273)]"
5,13,"['protecting christmas', 'celebrations texas', 'christmas bill', 'christmas holiday', 'merry christmas', 'mention christmas', 'holiday celebrations', 'holiday symbols', 'perry signed', 'rick perry']","[('protecting christmas', 0.479), ('celebrations texas', 0.4658), ('christmas bill', 0.4593), ('christmas holiday', 0.4458), ('merry christmas', 0.4359), ('mention christmas', 0.4284), ('holiday celebrations', 0.4201), ('holiday symbols', 0.4138), ('perry signed', 0.4118), ('rick perry', 0.4031)]"
6,11,"['gun initiatives', 'obama gun', 'democrats gun', 'gun buybacks', 'opposes gun', 'gun legislation', 'allowing guns', 'clinton need', 'clinton could', 'allow guns']","[('gun initiatives', 0.534), ('obama gun', 0.52), ('democrats gun', 0.5098), ('gun buybacks', 0.5025), ('opposes gun', 0.5007), ('gun legislation', 0.4946), ('allowing guns', 0.4926), ('clinton need', 0.4885), ('clinton could', 0.4854), ('allow guns', 0.4853)]"
7,0,"['sterling racist', 'sterling race', 'blacks sterling', 'nba racism', 'donald sterling', 'sterling black', 'sterling story', 'sport racist', 'negro players', 'blacks involved']","[('sterling racist', 0.6361), ('sterling race', 0.5751), ('blacks sterling', 0.572), ('nba racism', 0.5663), ('donald sterling', 0.5576), ('sterling black', 0.5238), ('sterling story', 0.5076), ('sport racist', 0.5042), ('negro players', 0.4932), ('blacks involved', 0.4903)]"
8,10,"['assange wikileaks', 'assange arrested', 'question wikileaks', 'prosecuting assange', 'wikileaks trafficked', 'wikileaks enemies', 'julian assange', 'questions wikileaks', 'wikileaks founder', 'said wikileaks']","[('assange wikileaks', 0.7162), ('assange arrested', 0.589), ('question wikileaks', 0.5767), ('prosecuting assange', 0.5628), ('wikileaks trafficked', 0.5558), ('wikileaks enemies', 0.5512), ('julian assange', 0.5501), ('questions wikileaks', 0.5436), ('wikileaks founder', 0.5383), ('said wikileaks', 0.5322)]"
9,2,"['bipartisan budget', 'budget congress', 'congressional budget', 'bipartisan deficit', 'stalled bipartisan', 'bipartisan commitment', 'compromise budget', 'congress compromise', 'bipartisan plan', 'budget senate']","[('bipartisan budget', 0.6974), ('budget congress', 0.6358), ('congressional budget', 0.6279), ('bipartisan deficit', 0.6006), ('stalled bipartisan', 0.5968), ('bipartisan commitment', 0.5966), ('compromise budget', 0.5965), ('congress compromise', 0.5898), ('bipartisan plan', 0.5896), ('budget senate', 0.5847)]"
